"Sample_ID","lat_N","lon_E","Nutricline_1uM_Interp","Phosphate_surfBottle","Silicate_surfBottle","Nitrate_NitriteBottle","CTD_salinity","Temp_SST","Cruise","Metagenome_Sample_ID","Omega_P","Omega_N","Omega_Fe"
"C132020_170_nifH",21.490495,-54.80272167,160.0295367,NA,NA,NA,NA,25.753,"C13","C132020_170_META",1.04647524,-0.410807653,-0.556857162
"C132020_171_nifH",21.649615,-54.98838,160.0295367,NA,NA,NA,NA,26.111,"C13","C132020_171_META",0.93349838,-0.421905899,-0.664106597
"C132020_173_nifH",21.87861,-55.23665667,160.4160968,NA,NA,NA,NA,25.737,"C13",NA,NA,NA,NA
"C132020_173V1_nifH",21.87861,-55.23665667,160.4160968,NA,NA,NA,NA,25.737,"C13","C132020_173V1_META",1.328071739,-0.682134538,-0.709565896
"C132020_174_nifH",23.35102667,-56.84755,161.5543668,NA,NA,NA,NA,25.468,"C13","C132020_174_META",1.22531745,-0.607992389,-0.709565896
"C132020_175_nifH",23.54797667,-57.06290333,162.6926367,NA,NA,NA,NA,25.48,"C13","C132020_175_META",1.043388293,-0.467395985,-0.660626885
"C132020_177_nifH",23.84893833,-57.39420833,162.6926367,NA,NA,NA,NA,25.133,"C13","C132020_177_META",1.058047476,-0.556336665,-0.667249964
"C132020_178_nifH",23.97596,-57.53449,162.6926367,NA,NA,NA,NA,25.084,"C13","C132020_178_META",1.010680522,-0.485968699,-0.695352075
"C132020_179_nifH",24.124135,-57.69209333,160.3117259,NA,NA,NA,NA,24.52,"C13","C132020_179_META",1.153659727,-0.619092559,-0.709565896
"C132020_180_nifH",24.43885833,-58.02101,161.8493983,NA,NA,NA,NA,24.625,"C13","C132020_180_META",1.028803671,-0.716333419,-0.709565896
"C132020_181_nifH",24,-58.1859,161.8493983,NA,NA,NA,NA,24.237,"C13",NA,NA,NA,NA
"C132020_182_nifH",24.74618,-58.342555,160.3117259,NA,NA,NA,NA,24.87,"C13","C132020_182_META",1.026063934,-0.792794685,-0.668674258
"C132020_183_nifH",24.89213833,-58.49527833,161.8493983,NA,NA,NA,NA,24.469,"C13","C132020_183_META",0.920497933,-0.683904752,-0.709565896
"C132020_184_nifH",25.03223833,-58.674155,155.3300141,NA,NA,NA,NA,24.305,"C13","C132020_184_META",1.016254061,-0.837127923,-0.709565896
"C132020_185_nifH",25.13373167,-58.87372333,155.3300141,NA,NA,NA,NA,24.298,"C13","C132020_185_META",0.936941485,-0.610497455,-0.709565896
"C132020_186_nifH",25.23281667,-59.06984667,158.7135864,NA,NA,NA,NA,24.37,"C13","C132020_186_META",1.274248263,-0.634603597,-0.709565896
"C132020_187_nifH",25.30106333,-59.20157833,156.3918743,NA,NA,NA,NA,24.306,"C13","C132020_187_META",1.096477668,-0.648913495,-0.709565896
"C132020_187V1_nifH",25.30106333,-59.20157833,156.3918743,NA,NA,NA,NA,24.306,"C13","C132020_187_META",1.096477668,-0.648913495,-0.709565896
"C132020_188_nifH",26.27686167,-61.14800333,155.1438744,NA,NA,NA,NA,23.183,"C13","C132020_188_META",1.284526772,-0.929288795,-0.709565896
"C132020_189_nifH",26.42352,-61.43703667,153.8958745,NA,NA,NA,NA,23.416,"C13","C132020_189_META",1.174311083,-0.78486653,-0.638249102
"C132020_190_nifH",26.597605,-61.78684667,153.8958745,NA,NA,NA,NA,23.054,"C13","C132020_190_META",1.047098705,-0.83763191,-0.709565896
"C132020_191_nifH",26.71770333,-62.02574333,154.4799638,NA,NA,NA,NA,23.589,"C13","C132020_191_META",1.139951438,-0.648044437,-0.704448046
"C132020_192_nifH",26.80133167,-62.19496,154.4799638,NA,NA,NA,NA,23.634,"C13","C132020_192_META",1.216633864,-0.837005211,-0.69501891
"C132020_193_nifH",26.99160167,-62.57724667,154.4799638,NA,NA,NA,NA,23.693,"C13","C132020_193_META",1.260413797,-0.725496618,-0.709565896
"C132020_195_nifH",27.198015,-62.99058,141.0459764,NA,NA,NA,NA,23.848,"C13","C132020_195_META",1.090843602,-0.341453891,-0.705500239
"C132020_196_nifH",27.280885,-63.15777833,141.1475278,NA,NA,NA,NA,23.787,"C13","C132020_196_META",1.161374734,-0.736369694,-0.696310442
"C132020_197_nifH",27.38236667,-63.36162833,141.1475278,NA,NA,NA,NA,23.771,"C13","C132020_197_META",1.184393288,-0.76115383,-0.663431244
"C132020_198_nifH",27.48378167,-63.56747333,141.1475278,NA,NA,NA,NA,22.834,"C13","C132020_198_META",1.142657628,-0.782689579,-0.709565896
